Retailer,Adidas Sales Database Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Total Sales,Operating Profit,Operating Margin,Sales Method,Units Sold Cleaned,Total Sales norm,Operating Profit norm,State - City,State_grouped,Month
Sports Direct,"1197831,00",2020-07-21,Northeast,New York,New York,Women's Street Footwear,"35,00","245,00","85,80","0,35",Outlet,"7,00","0,61","0,53",New York - New York,New York,July
Sports Direct,"1197831,00",2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,"35,00","245,00","110,20","0,45",Outlet,"7,00","0,61","0,68",New York - New York,New York,July
Sports Direct,"1197831,00",2020-07-23,South,Texas,Houston,Men's Apparel,"40,00","220,00","66,00","0,30",Outlet,"5,50","0,55","0,41",Texas - Houston,Texas,July
Sports Direct,"1197831,00",2020-07-24,South,Texas,Houston,Women's Apparel,"35,00","245,00","122,50","0,50",Outlet,"7,00","0,61","0,75",Texas - Houston,Texas,July
Sports Direct,"1197831,00",2020-07-27,South,Texas,Houston,Women's Street Footwear,"35,00","236,20","82,70","0,35",Outlet,"6,75","0,59","0,51",Texas - Houston,Texas,July
Sports Direct,"1197831,00",2020-07-28,South,Texas,Houston,Women's Athletic Footwear,"35,00","218,80","98,40","0,45",Outlet,"6,25","0,55","0,61",Texas - Houston,Texas,July
Sports Direct,"1197831,00",2020-07-29,South,Texas,Houston,Men's Apparel,"40,00","200,00","60,00","0,30",Outlet,"5,00","0,50","0,37",Texas - Houston,Texas,July
Sports Direct,"1197831,00",2020-07-30,South,Texas,Houston,Women's Apparel,"35,00","245,00","122,50","0,50",Outlet,"7,00","0,61","0,75",Texas - Houston,Texas,July
Sports Direct,"1197831,00",2020-08-02,South,Texas,Houston,Women's Street Footwear,"35,00","245,00","85,80","0,35",Outlet,"7,00","0,61","0,53",Texas - Houston,Texas,August
Sports Direct,"1197831,00",2020-08-03,South,Texas,Houston,Women's Athletic Footwear,"40,00","240,00","108,00","0,45",Outlet,"6,00","0,60","0,66",Texas - Houston,Texas,August
Sports Direct,"1197831,00",2020-08-04,South,Texas,Houston,Men's Apparel,"45,00","225,00","67,50","0,30",Outlet,"5,00","0,56","0,42",Texas - Houston,Texas,August
Sports Direct,"1197831,00",2020-08-05,South,Texas,Houston,Women's Apparel,"40,00","260,00","130,00","0,50",Outlet,"6,50","0,65","0,80",Texas - Houston,Texas,August
Sports Direct,"1197831,00",2020-08-08,South,Texas,Houston,Women's Street Footwear,"35,00","253,80","88,80","0,35",Outlet,"7,25","0,64","0,55",Texas - Houston,Texas,August
Sports Direct,"1197831,00",2020-08-09,South,Texas,Houston,Women's Athletic Footwear,"40,00","250,00","112,50","0,45",Outlet,"6,25","0,63","0,69",Texas - Houston,Texas,August
Walmart,"1197831,00",2020-08-10,South,Texas,Houston,Men's Apparel,"45,00","236,20","70,90","0,30",Outlet,"5,25","0,59","0,44",Texas - Houston,Texas,August
